APP_NAME,funsafe_math_optimizations,fno_guess_branch_probability,fno_ivopts,fno_tree_loop_optimize,fno_inline_functions,funroll_all_loops,o2,execution_time_1,execution_time_2,execution_time_3,execution_time_4,execution_time_5,code_size
automotive_bitcount,X,X,X,X,X,X,X,2010.64,3302.71,4770.88,6314.6,7889.87,457478
automotive_bitcount,X,X,X,X,X,X,-O2,1777.07,3251.86,4731.59,6372.31,8459.09,457478
automotive_bitcount,X,X,X,X,X,-funroll-all-loops,X,2504.95,3295.54,4645.23,6286.89,7816.15,461574
automotive_bitcount,X,X,X,X,X,-funroll-all-loops,-O2,1715.03,3143.13,4557.01,6103.12,7736.7,461574
automotive_bitcount,X,X,X,X,-fno-inline-functions,X,X,1695.72,3151.09,4782.62,6558.69,8059.82,457478
automotive_bitcount,X,X,X,X,-fno-inline-functions,X,-O2,1770.89,3867.33,4785.14,6704.09,8181.35,457478
automotive_bitcount,X,X,X,X,-fno-inline-functions,-funroll-all-loops,X,1693.86,3567.79,4666.93,6329.07,7741.31,461574
automotive_bitcount,X,X,X,X,-fno-inline-functions,-funroll-all-loops,-O2,1736.58,3146.86,4548.82,6066.41,7616.85,461574
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,X,X,X,2037.08,3340.75,4835.1,6889.66,8208.66,457478
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,X,X,-O2,1644.07,3148.46,4795.02,6675.84,7998.47,457478
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,X,-funroll-all-loops,X,1968.27,3410.16,4990.03,6404.59,7951.12,461574
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,X,-funroll-all-loops,-O2,1844.47,3493.16,4558.11,6155,8009.5,461574
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,X,X,1670.08,3163.24,4725.65,6695.59,8105.63,457478
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,X,-O2,1912.89,3280.47,5174.3,6419.11,8311.97,457478
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,X,1734.33,3384.47,4570.11,6219.73,8078.44,461574
automotive_bitcount,X,X,X,-fno-tree-loop-optimize,-fno-inline-functions,-funroll-all-loops,-O2,1699.93,3160.47,5091.89,6127.33,7650.9,461574
automotive_bitcount,X,X,-fno-ivopts,X,X,X,X,1791.88,3494.67,5466.06,6632.24,8607.56,457478
automotive_bitcount,X,X,-fno-ivopts,X,X,X,-O2,1779.92,3333.95,4951.87,6986.98,8577.95,457478
automotive_bitcount,X,X,-fno-ivopts,X,X,-funroll-all-loops,X,1631.35,3189.73,5066.8,6843.97,7815.37,461574
